dataset_name,avg_MAE_15min,avg_RMSE_15min,avg_MAE_30min,avg_RMSE_30min,avg_MAE_60min,avg_RMSE_60min,avg_MAE_90min,avg_RMSE_90min
14_HUPA-UCM,9.826273212432861,13.479242191314697,17.025044898986817,23.031794242858886,28.438977127075194,38.43582725524902,37.36717231750488,49.35521797180176
17_T1DM-UOM,11.347812568440157,15.875499220455394,18.523200820474063,25.445083954755,29.069245170144473,39.18723790785845,35.47439395680147,47.049705393174115
18_Bris-T1D Open,8.712456631660462,13.686021757125854,14.339388132095337,22.076545619964598,22.955152297019957,34.88720808029175,28.358838176727296,42.410875129699704
19_AZT1D,10.902753887176514,15.153108139038086,17.163333587646484,23.25067710876465,26.869459533691405,35.60627792358398,32.8150602722168,42.986442718505856
2_D1NAMO,13.465986456189837,17.84881033216204,22.98980971745082,30.011192049298966,39.274623598371235,49.87921006338937,49.95629801068987,62.93662806919643
BIG_IDEA_LAB,7.613293170928955,11.518451631069183,11.139576137065887,17.003011345863342,15.022734642028809,22.29479342699051,16.629838228225708,23.905883848667145
CGMacros,8.826354196336535,12.713916492462157,12.765553675757515,18.543181779649522,17.312550820244685,24.754955503675674,19.996809260050455,27.903087679545084
ShanghaiT1DM,7.223711411158244,9.45360541343689,13.280926585197449,17.27206055323283,22.92767906188965,29.823037544886272,30.62695622444153,39.45351219177246
ShanghaiT2DM,6.012078466415406,8.345665810108185,10.437696113586426,14.535677185058594,17.11100115776062,23.916406898498536,21.877227187156677,29.819971771240233
UCHTT1DM,9.657720494270325,13.926676654815674,13.956510949134827,19.783217573165892,19.58628113269806,26.592954325675965,23.648664808273317,30.875780558586122
